http://tolkiengateway.net/wiki/Elros||Elros|Tar-Minyatur|King of Númenor|F.A. 532|S.A. 32 - 442 (410 years)||S.A. 442 (aged 500)Númenor |
http://tolkiengateway.net/wiki/Elendil||Elendil|Nimruzîr|High King|S.A. 3119|S.A. 3320 - 3441 (121 years)||S.A. 3441 (aged 322)During Siege of Barad-dûr |
http://tolkiengateway.net/wiki/Vardamir|b'http://tolkiengateway.net/wiki/Elros'|Tar-Vardamir|Nólimon|King of Númenor|S.A. 61|S.A. 442 (immediately abdicated)S.A. 442 - 443 (de jure)||S.A. 471 (aged 410)Númenor |
http://tolkiengateway.net/wiki/Atanalcar|b'http://tolkiengateway.net/wiki/Elros'|Atanalcar|||After S.A. 61||||
http://tolkiengateway.net/wiki/Tind%C3%B3miel|b'http://tolkiengateway.net/wiki/Elros'|Tindómiel|||After S.A. 61||||
http://tolkiengateway.net/wiki/Manwendil|b'http://tolkiengateway.net/wiki/Elros'|Manwendil|||After S.A. 61||||
http://tolkiengateway.net/wiki/An%C3%A1rion|b'http://tolkiengateway.net/wiki/Elendil'|Anárion||King|S.A. 3219|S.A. 3320 - 3440 (120 years)||S.A. 3440 (aged 221)During Siege of Barad-dûr |
http://tolkiengateway.net/wiki/Aulendil_(son_of_Vardamir)|b'http://tolkiengateway.net/wiki/Vardamir'||||||||
http://tolkiengateway.net/wiki/Isildur|b'http://tolkiengateway.net/wiki/Elendil'|Isildur||High King|S.A. 3209|S.A. 3441 - T.A. 2 (2 years)||5 October, T.A. 2 (aged 234)Disaster of the Gladden Fields |
http://tolkiengateway.net/wiki/Nolondil|b'http://tolkiengateway.net/wiki/Vardamir'|Nolondil|||S.A. 222||||
http://tolkiengateway.net/wiki/Vardilm%C3%AB|b'http://tolkiengateway.net/wiki/Vardamir'|Vardilmë|||S.A. 203||||
http://tolkiengateway.net/wiki/Tar-Amandil|b'http://tolkiengateway.net/wiki/Vardamir'|Tar-Amandil|Ar-Aphanuzîr|King of Númenor|S.A. 192|S.A. 442 - 590 (de facto)S.A. 443 - 590 (de jure)||S.A. 603 (aged 411) |
http://tolkiengateway.net/wiki/Elendur_(son_of_Isildur)|b'http://tolkiengateway.net/wiki/Isildur'||||||||
http://tolkiengateway.net/wiki/Meneldil|b'http://tolkiengateway.net/wiki/An%C3%A1rion'|Meneldil||King of Gondor|S.A. 3318|T.A. 2 - T.A. 158 (156 years)||T.A. 158 (aged 281)Gondor |
http://tolkiengateway.net/wiki/Axantur|b'http://tolkiengateway.net/wiki/Nolondil'|Axantur|||S.A. 395||||
http://tolkiengateway.net/wiki/Ciryon|b'http://tolkiengateway.net/wiki/Isildur'|Ciryon|||S.A. 3379[1]|||T.A. 2 (aged 64)Disaster of the Gladden Fields |
http://tolkiengateway.net/wiki/Valandil_(King_of_Arnor)|b'http://tolkiengateway.net/wiki/Isildur'|Valandil||King of Arnor|S.A. 3430|T.A. 10 - 249||T.A. 249 (aged 260) |
http://tolkiengateway.net/wiki/Oromendil|b'http://tolkiengateway.net/wiki/Nolondil'|Oromendil|||S.A. 382||||
http://tolkiengateway.net/wiki/Y%C3%A1vien|b'http://tolkiengateway.net/wiki/Nolondil'|Yávien|||S.A. 371||||
http://tolkiengateway.net/wiki/Aratan|b'http://tolkiengateway.net/wiki/Isildur'|Aratan|||S.A. 3339[1]|||T.A. 2 (aged 104)Disaster of the Gladden Fields |
http://tolkiengateway.net/wiki/Mairen|b'http://tolkiengateway.net/wiki/Tar-Amandil'|Mairen|||S.A. 377||||
http://tolkiengateway.net/wiki/Tar-Elendil|b'http://tolkiengateway.net/wiki/Tar-Amandil'|Tar-Elendil|Parmaitë|King of Númenor|S.A. 350|S.A. 590 - 740 (150 years)||S.A. 751 (aged 401)Númenor |
http://tolkiengateway.net/wiki/Cemendur_(King_of_Gondor)|b'http://tolkiengateway.net/wiki/Meneldil'|Cemendur||King of Gondor|S.A. 3399|T.A. 158 - T.A. 238 (80 years)||T.A. 238 (aged 280) |
http://tolkiengateway.net/wiki/Ardamir_(son_of_Axantur)|b'http://tolkiengateway.net/wiki/Axantur'||||||||
http://tolkiengateway.net/wiki/E%C3%A4rendur_(son_of_Tar-Amandil)|b'http://tolkiengateway.net/wiki/Tar-Amandil'||||||||
http://tolkiengateway.net/wiki/Eldacar_(King_of_Arnor)|b'http://tolkiengateway.net/wiki/Valandil_(King_of_Arnor)'|Eldacar||King of Arnor|T.A. 87|T.A. 249 - 339||T.A. 339 (aged 252) |
http://tolkiengateway.net/wiki/Lindiss%C3%AB|b'http://tolkiengateway.net/wiki/Axantur'|Lindissë|||S.A. 551||||
http://tolkiengateway.net/wiki/Cemendur_(son_of_Axantur)|b'http://tolkiengateway.net/wiki/Axantur'||||||||
http://tolkiengateway.net/wiki/Isilm%C3%AB|b'http://tolkiengateway.net/wiki/Tar-Elendil'|Isilmë|||S.A. 532||||
http://tolkiengateway.net/wiki/E%C3%A4rendil_(King_of_Gondor)|b'http://tolkiengateway.net/wiki/Cemendur_(King_of_Gondor)'|Eärendil||King of Gondor|T.A. 48|T.A. 238 - 324 (86 years)||T.A. 324 (aged 276) |
http://tolkiengateway.net/wiki/Arantar|b'http://tolkiengateway.net/wiki/Eldacar_(King_of_Arnor)'|Arantar||King of Arnor|T.A. 185|T.A. 339 - 435||T.A. 435 (aged 250) |
http://tolkiengateway.net/wiki/Silmari%C3%ABn|b'http://tolkiengateway.net/wiki/Tar-Elendil'||||||||
